Categoria;Titular;Fuente
Nacional;Suman 10 las arremetidas de Evo en contra del gobierno de Luis Arce;https://www.paginasiete.bo/nacional/2022/4/7/suman-10-las-arremetidas-de-evo-en-contra-del-gobierno-de-luis-arce-327926.html
Nacional;Chile rechaza pago y dice que es libre de usar las aguas del Silala como le plazca;https://www.paginasiete.bo/nacional/2022/4/7/chile-rechaza-pago-dice-que-es-libre-de-usar-las-aguas-del-silala-como-le-plazca-327924.html
Nacional;Chile rechaza pago y dice que es libre de usar las aguas del Silala como le plazca;https://www.paginasiete.bo/nacional/2022/4/7/chile-rechaza-pago-dice-que-es-libre-de-usar-las-aguas-del-silala-como-le-plazca-327924.html
Nacional;Defensor: 84 son habilitados y un veedor advierte «preferencias»;https://www.paginasiete.bo/nacional/2022/4/7/defensor-84-son-habilitados-un-veedor-advierte-preferencias-327949.html
Nacional;Calzadilla: «Chile aceptó que Bolivia tiene derecho sobre obras»;https://www.paginasiete.bo/nacional/2022/4/7/calzadilla-chile-acepto-que-bolivia-tiene-derecho-sobre-obras-327925.html
Nacional;Agente Calzadilla: Chile aceptó que Bolivia tiene derecho sobre las canalizaciones en el Silala;https://www.paginasiete.bo/nacional/2022/4/6/agente-calzadilla-chile-acepto-que-bolivia-tiene-derecho-sobre-las-canalizaciones-en-el-silala-327883.html
Nacional;Vicecónsul exige que periodista argentina le pida disculpas por haberlo llamado «delincuente»;https://www.paginasiete.bo/nacional/2022/4/6/viceconsul-exige-que-periodista-argentina-le-pida-disculpas-por-haberlo-llamado-delincuente-327879.html
Nacional;Chile dice en la CIJ que es libre de usar las aguas del Silala «como le plazca, sin pago o acuerdo»;https://www.paginasiete.bo/nacional/2022/4/6/chile-dice-en-la-cij-que-es-libre-de-usar-las-aguas-del-silala-como-le-plazca-sin-pago-acuerdo-327873.html
Nacional;Analistas ven que Morales abre pugna para menoscabar a Arce;https://www.paginasiete.bo/nacional/2022/4/6/analistas-ven-que-morales-abre-pugna-para-menoscabar-arce-327839.html
Nacional;¿Quién es Brenda Lafuente, la polémica directora de AJAM?;https://www.paginasiete.bo/nacional/2022/4/6/quien-es-brenda-lafuente-la-polemica-directora-de-ajam-327857.html
Nacional;Silala: Bolivia pide compensación por preservar los canales y flujo artificial;https://www.paginasiete.bo/nacional/2022/4/6/silala-bolivia-pide-compensacion-por-preservar-los-canales-flujo-artificial-327836.html
Nacional;TDJ rechaza amparo contra Luis Arce;https://www.paginasiete.bo/nacional/2022/4/6/tdj-rechaza-amparo-contra-luis-arce-327846.html
Nacional;Defensor: Morales queda fuera y Cruz es habilitada;https://www.paginasiete.bo/nacional/2022/4/6/defensor-morales-queda-fuera-cruz-es-habilitada-327848.html
Nacional;En medio del caso Sacta, Del Castillo se excusa de presentar informe en el Legislativo;https://www.paginasiete.bo/nacional/2022/4/5/en-medio-del-caso-sacta-del-castillo-se-excusa-de-presentar-informe-en-el-legislativo-327818.html
Nacional;Postulaciones a Defensoría: Comisión hablita a Nadia Cruz y deja fuera a líder del Conade;https://www.paginasiete.bo/nacional/2022/4/5/postulaciones-defensoria-comision-hablita-nadia-cruz-deja-fuera-lider-del-conade-327804.html
Nacional;Luis Arce viajará el jueves a Argentina para reunirse con Alberto Fernández;https://www.paginasiete.bo/nacional/2022/4/5/luis-arce-viajara-el-jueves-argentina-para-reunirse-con-alberto-fernandez-327803.html
Nacional;Disponen receso del juicio contra Añez y exjefes militares hasta el jueves;https://www.paginasiete.bo/nacional/2022/4/5/disponen-receso-del-juicio-contra-anez-exjefes-militares-hasta-el-jueves-327797.html
Nacional;Diputado del MAS: No tenemos confianza en el director de la Felcn, fue personal del gobierno de facto;https://www.paginasiete.bo/nacional/2022/4/5/diputado-del-mas-no-tenemos-confianza-en-el-director-de-la-felcn-fue-personal-del-gobierno-de-facto-327788.html
Nacional;Defensa de Añez: Buscan concluir el juicio en tiempo récord, ya debe de existir una sentencia;https://www.paginasiete.bo/nacional/2022/4/5/defensa-de-anez-buscan-concluir-el-juicio-en-tiempo-record-ya-debe-de-existir-una-sentencia-327787.html
Nacional;Periodista argentina llama «delincuente» a vicecónsul boliviano y la embajada anuncia acciones;https://www.paginasiete.bo/nacional/2022/4/5/periodista-argentina-llama-delincuente-viceconsul-boliviano-la-embajada-anuncia-acciones-327774.html
Nacional;Bolivia dice en la CIJ que tiene derecho a una compensación que incluya mantenimiento de los canales;https://www.paginasiete.bo/nacional/2022/4/5/bolivia-dice-en-la-cij-que-tiene-derecho-una-compensacion-que-incluya-mantenimiento-de-los-canales-327785.html
Nacional;Bolivia: Chile se benefició un siglo y quiere quedarse con el total del Silala;https://www.paginasiete.bo/nacional/2022/4/5/bolivia-chile-se-beneficio-un-siglo-quiere-quedarse-con-el-total-del-silala-327761.html
Nacional;Bolivia prevé desmantelar los canales y podría afectar hasta un 33% del flujo;https://www.paginasiete.bo/nacional/2022/4/5/bolivia-preve-desmantelar-los-canales-podria-afectar-hasta-un-33-del-flujo-327763.html
Nacional;Defensor: de 50 aspirantes, 20 ya fueron inhabilitados;https://www.paginasiete.bo/nacional/2022/4/5/defensor-de-50-aspirantes-20-ya-fueron-inhabilitados-327769.html
Nacional;Carolina denuncia que Añez enfrenta más de 12 horas de audiencia «al borde una nueva crisis»;https://www.paginasiete.bo/nacional/2022/4/4/carolina-denuncia-que-anez-enfrenta-mas-de-12-horas-de-audiencia-al-borde-una-nueva-crisis-327733.html
Nacional;Jaime Paz estuvo al borde de la muerte, revela su hijo Rodrigo;https://www.paginasiete.bo/nacional/2022/4/4/jaime-paz-estuvo-al-borde-de-la-muerte-revela-su-hijo-rodrigo-327723.html
Nacional;ANP protesta por la decisión de la justicia de excluir a periodistas del juicio contra Añez;https://www.paginasiete.bo/nacional/2022/4/4/anp-protesta-por-la-decision-de-la-justicia-de-excluir-periodistas-del-juicio-contra-anez-327719.html
Nacional;Agente de Chile habla de tranquilidad y cree que Bolivia no pudo probar «flujo artificial»;https://www.paginasiete.bo/nacional/2022/4/4/agente-de-chile-habla-de-tranquilidad-cree-que-bolivia-no-pudo-probar-flujo-artificial-327716.html
Nacional;Comisión sesiona por tiempo y materia para revisar requisitos de postulantes a Defensor;https://www.paginasiete.bo/nacional/2022/4/4/comision-sesiona-por-tiempo-materia-para-revisar-requisitos-de-postulantes-defensor-327711.html
Nacional;Calzadilla presenta reclamo por falta de traducción al español en parte de la intervención boliviana;https://www.paginasiete.bo/nacional/2022/4/4/calzadilla-presenta-reclamo-por-falta-de-traduccion-al-espanol-en-parte-de-la-intervencion-boliviana-327706.html
Nacional;Bolivia manifiesta en la CIJ su intención de desmantelar canales del Silala;https://www.paginasiete.bo/nacional/2022/4/4/bolivia-manifiesta-en-la-cij-su-intencion-de-desmantelar-canales-del-silala-327701.html
Nacional;Bolivia en la CIJ: El Silala es un curso de agua internacional aumentado de forma artificial;https://www.paginasiete.bo/nacional/2022/4/4/bolivia-en-la-cij-el-silala-es-un-curso-de-agua-internacional-aumentado-de-forma-artificial-327693.html
